"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"phylo_MAR","F2",300,0.5,0.3,30,0,-0.0512390257013429,0.00515022194409415,0.59443451357151,0.666666666666667
"phylo_MAR","F3",300,0.5,0.3,30,0,0.0346232237039651,0.00652089879409244,0.0775,0.105555555555556
"phylo_MAR","F1",1000,0.5,0.3,30,0,-0.00324668564134063,0.000794566187012746,0.20812908496732,0.308333333333333
"phylo_MAR","F2",1000,0.5,0.3,30,0,-0.0401162281994827,0.00363239098987084,0.625651368003342,0.691666666666667
"phylo_MAR","F3",1000,0.5,0.3,30,0,0.00267386850191639,0.00271760678792099,0.102119883040936,0.177777777777778
"phylo_MAR","F1",100,1,0.3,30,0,0.0165907207032884,0.00900575494630012,0.25140232628139,0.3
"phylo_MAR","F2",100,1,0.3,30,0,-0.0684039466753351,0.0126958653260404,0.477737588456435,0.541666666666667
"phylo_MAR","F3",100,1,0.3,30,0,0.063581731166234,0.0149622366163955,0.0929741863075196,0.138888888888889
"phylo_MAR","F1",300,1,0.3,30,0,-0.00377110156796048,0.00155526665624968,0.264561403508772,0.341666666666667
"phylo_MAR","F2",300,1,0.3,30,0,-0.0430878685767169,0.00617031810721752,0.511359219126247,0.608333333333333
"phylo_MAR","F3",300,1,0.3,30,0,0.00929141323950217,0.00728454015522428,0.08722129397568,0.116666666666667
"phylo_MAR","F1",1000,1,0.3,30,0,-0.00118061474257844,0.000664141484526847,0.178135964912281,0.258333333333333
"phylo_MAR","F2",1000,1,0.3,30,0,-0.0292352200911428,0.00190881773311133,0.544086257309942,0.658333333333333
"phylo_MAR","F3",1000,1,0.3,30,0,-0.000857821878640788,0.00166665612983081,0.0685737491877843,0.15
"phylo_MAR","F1",100,0.2,0.5,30,0,-0.00997383534243386,0.00888141310731962,0.210563929313929,0.233333333333333
"phylo_MAR","F2",100,0.2,0.5,30,0,-0.0631395192082093,0.0175573560502937,0.27587962962963,0.3
"phylo_MAR","F3",100,0.2,0.5,30,0,0.0084666047608254,0.0177332639987249,0.0796582960669648,0.0944444444444444
"phylo_MAR","F1",300,0.2,0.5,30,0,-0.00889501074277942,0.0036530867172027,0.25349892109954,0.275
"phylo_MAR","F2",300,0.2,0.5,30,0,-0.0812292854980544,0.00940913702496905,0.477453400501001,0.516666666666667
"phylo_MAR","F3",300,0.2,0.5,30,0,-0.00320876835031903,0.00583359448053215,0.11625730994152,0.155555555555556
"phylo_MAR","F1",1000,0.2,0.5,30,0,-0.0043330555923028,0.00179536319695714,0.262509746588694,0.291666666666667
"phylo_MAR","F2",1000,0.2,0.5,30,0,-0.0658530836673296,0.00370663941388182,0.645408496732026,0.658333333333333
"phylo_MAR","F3",1000,0.2,0.5,30,0,-0.000772877647247465,0.00257628188349398,0.11853151397011,0.144444444444444
"phylo_MAR","F1",100,0.5,0.5,30,0,0.0180467680551205,0.00865442179487793,0.202038838927384,0.25
"phylo_MAR","F2",100,0.5,0.5,30,0,-0.0745833190065061,0.0178839003204631,0.406748652677445,0.466666666666667
"phylo_MAR","F3",100,0.5,0.5,30,0,0.0188239088972478,0.0156317210262777,0.108333333333333,0.122222222222222
"phylo_MAR","F1",300,0.5,0.5,30,0,-0.00611706877680713,0.00385181153707617,0.381239280334675,0.45
"phylo_MAR","F2",300,0.5,0.5,30,0,-0.0951762833097594,0.00949338731727265,0.657342334594657,0.7
"phylo_MAR","F3",300,0.5,0.5,30,0,0.0206777445416933,0.0077803288431559,0.11031067251462,0.166666666666667
"phylo_MAR","F1",1000,0.5,0.5,30,0,-0.00331350790264721,0.00108653294615537,0.193349673202614,0.283333333333333
"phylo_MAR","F2",1000,0.5,0.5,30,0,-0.0487384350634207,0.0038304884166494,0.630464087569351,0.675
